NOTAM Text,Category
"!FDC 3/8481 ZAB NM..AIRSPACE FORT WINGATE, NM..TEMPORARY FLIGHT
RESTRICTIONS WI AN AREA DEFINED AS 3NM RADIUS OF 352557N1083705W
(GUP088012.7) SFC-11000FT EXPLOSIVE DEMOLITION. PURSUANT TO 14 CFR 
SECTION 91.137(A)(1) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. 
ONLY RELIEF ACFT OPS UNDER DIRECTION OF ARMY CORPS OF ENGINEERS 
MIKE OLDFIELD ARE AUTH IN THE AIRSPACE. ARMY CORPS OF 
ENGINEERS MIKE OLDFIELD TEL 269-377-1387 IS IN CHARGE OF ON 
SCENE EMERG RESPONSE ACT. ALBUQUERQUE /ZAB/ ARTCC TEL 505-856-4591 
IS THE FAA CDN FACILITY.
2304111500-2304112200",TFR
"D1227/23 NOTAMN
Q) EPWW/QWUTT/IV/BO /W /000/038/5202N01855E242
A) EPWW B) 2304220000 C) 2304232359
E) TRIGGER NOTAM - AIRAC SUP 40/23 (ENR 5) WEF 22 APR 2023 TILL 23
APR 2023:
- UAV SCHOOL FLIGHTS OF 8TH TERRITORIAL DEFENCE BRIGADE OF KUJAWY - 
POMORZE REGION.
F) GND G) 3800FT AMSL",UAV
"A0996/23 NOTAMN
Q) LFMM/QFUAH/IV/BO /A /000/999/4335N00358E005
A) LFMT B) 2303120000 C) 2303122359
E) REFUELLING HOURS :
0000-0300 : AVAILABLE ON-DUTY CONTACT
0300-1800 : REFUELLING SVC OPENED
1800-2200 : REFUELLING SERVICE LIMITED FOR EMERGENCY SERVICE AND 
MEDEVAC ON-DUTY CONTACT.FOR OTHER FLIGHTS,DOUBLE FUEL LOAD ADVISED.
2200-2359 : AVAILABLE ON-DUTY CALL
PN 01HR TEL +33(0)4 67 65 98 43 (SURCHARGED CALL BY NIGHT",F
!ICT 01/564 ICT NAV VOR 025-035 SFC-4000FT UNUSABLE 2301311416-2607312359EST,NAV
"!FDC 3/8768 VEL IAP VERNAL RGNL, VERNAL, UT.
VOR RWY 35, ORIG-B...
DME REQUIRED EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS,
MTU VOR OUT OF SERVICE. 2304101053-2305101053EST",PRO
!F17 07/015 F17 NAV CZJ NDB U/S 2207241414-2307242000EST,NAV
"D1343/23 NOTAMR D7192/22
Q) EPWW/QRTCA/IV/BO /W /000/018/4957N02241E110
A) EPWW B) 2303141330 C) 2306142359
E) RESTRICTED AREA - EPR104. AIRSPACE UNCLASSIFIED. FLIGHTS OF 
UNMANNED AERIAL VEHICLES (UAV). 
LATERAL LIMITS: (WGS 84):
1. 500810N 0222243E
2. 500623N 0222216E
3. 500604N 0222507E
4. 500449N 0222747E
5. 500403N 0223041E
6. 500251N 0223304E
7. 500048N 0223328E
8. 495853N 0223517E
9. 495638N 0223804E
10.495425N 0224252E
11.495338N 0224705E
12.495323N 0225010E
13.495321N 0225338E
14.495605N 0230024E
15.495628N 0230330E
16.495850N 0230558E
17.495845N 0225807E
18.495612N 0224952E
19.495814N 0224221E
20.500315N 0223717E
21.500460N 0223317E
1. 500810N 0222243E
VERTICAL LIMITS: GND-1800FT AMSL
F) GND G) 1800FT AMSL",UAV
"B1769/23 NOTAMN
Q) LECM/QOBTT/IV/BO /E /000/999/4033N00711W371
A) LECM B) 2304200000 C) 2305032359
E) TRIGGER NOTAM - AIP SUP AIRAC 34/23 WEF 20-APR-23 TO 
20-APR-24 EST: CANTERAS III WIND FARM UNDER CONSTRUCTION",C
!BTV 10/138 VT8 AD AP CLSD 2211010700-2306010512,APC
"!FDC 3/4675 JQF ODP CONCORD RGNL, CONCORD, NC.
TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES AMDT 3...
DEPARTURE PROCEDURE RWY 20 NA EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV SYSTEM WITH GPS,
CLT VOR OUT OF SERVICE. 2304011023-2305011023EST",PRO
!AEG 01/001 AEG NAV ILS RWY 22 GP NOT MNT 2301091802-2309072000EST,NAV
"!FDC 2/5425 SIF IAP ROCKINGHAM COUNTY NC SHILOH, REIDSVILLE, NC.
VOR/DME-A, AMDT 9C...
CHANGE NOTE TO READ: RWY 31 HELICOPTER VISIBILITY REDUCTION BELOW 1 SM NOT AUTHORIZED.
CHANGE NOTE TO READ: CIRCLING RWY 31 NA AT NIGHT.
ALTERNATE MINIMUMS: STANDARD - CAT D 800-2 1/4; NA WHEN LOCAL WEATHER NOT AVAILABLE.
2212141251-2412141250EST",W
!HUF 01/079 TTH NAV TACAN AZM U/S 2301051446-2401312000EST,NAV
"D1628/22 NOTAMR D1305/22
Q) LTBB/QFUAH/IV/NBO/A /000/999/3747N02942E005
A) LTAY B) 2209290941 C) 2303311400 EST
E) FUEL JP-8 AND MUTUAL SERVICE AVBL WITHIN OPERATING HOURS.
EXC OPERATING HOURS CONTACT WITH AD ADMINISTRATION.",F
"!ELM 12/125 ELM TWY E, G, H, TWY C BTN RWY 10/28 AND RWY 06/24 CLSD DLY 0500-1100 2212230500-2303121100",GC
"A2181/22 NOTAMR A3011/21
Q) MMFR/QFUXX///A/000/999/2842N10558W002 
A) MMCU 
B) 2203282254 
C) PERM
E) CHANGE FUEL GRADE FM TURBOSINE JET A 1  TO  JET A",F
!GAM 12/022 GAM NAV NDB U/S 2212131832-2308101500EST,NAV
"!FDC 2/4118 5PN6 SPECIAL GEISINGER-LEWISTOWN HOSPITAL, LEWISTOWN, PA.
COPTER RNAV (GPS) 247, ORIG-A ...
RDO ALTIMETER UNREL EXC FOR ACFT USING APPROVED ALTERNATIVE METHODS OF COMPLIANCE DUE TO 5G C-BAND INTERFERENCE PLUS SEE AIRWORTHINESS DIRECTIVE 2021-23-13 2201190501-2401192121EST",PRO
!FMY 10/055 FMY APRON BRAVO HANGARS RAMP CLSD 2210251922-2304302300,GC
"!FDC 3/9547 PHL ODP PHILADELPHIA INTL, PHILADELPHIA, PA.
TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES AMDT 11...
ADD TAKEOFF OBSTACLE NOTE: RWY 27R, TEMPORARY CONSTRUCTION EQUIPMENT 500FT FROM DER, 319FT RIGHT OF CENTERLINE, 20FT AGL/ 30FT MSL (2022-AEA-1842-NRA).
ALL OTHER DATA REMAINS AS PUBLISHED. 2302271200-2306151200EST",C
"!FDC 3/8344 ZJX PART 1 OF 4 FL..AIRSPACE MAYPORT, FL..TEMPORARY
 FLIGHT
RESTRICTIONS.  
      APRIL 12, 2023 LOCAL.  PURSUANT TO 49 USC 40103(B)(3), THE 
FEDERAL AVIATION ADMINISTRATION (FAA) CLASSIFIES THE AIRSPACE 
DEFINED IN THIS NOTAM AS &apos;NTL DEFENSE AIRSPACE&apos;. PILOTS WHO DO NOT 
ADHERE TO THE FOLLOWING PROC MAY BE INTERCEPTED, DETAINED AND 
INTERVIEWED BY LAW ENFORCEMENT/SECURITY PERSONNEL. ANY OF THE 
FOLLOWING ADDITIONAL ACTIONS MAY ALSO BE TAKEN AGAINST A PILOT WHO 
DOES NOT COMPLY WITH THE RQMNTS OR  ANY SPECIAL INSTRUCTIONS OR 
PROC ANNOUNCED IN THIS NOTAM: 
A) THE FAA MAY TAKE ADMINISTRATIVE ACTION, INCLUDING IMPOSING CIVIL 
PENALTIES AND THE SUSPENSION OR REVOCATION OF AIRMEN CERTIFICATES; 
OR  
B) THE UNITED STATES GOVERNMENT MAY PURSUE CRIMINAL CHARGES, 
INCLUDING CHARGES UNDER 49 USC SECTION 46307; OR  
C) THE UNITED STATES GOVERNMENT MAY USE DEADLY FORCE AGAINST THE 
AIRBORNE ACFT, IF IT IS DETERMINED THAT THE ACFT POSES AN IMMINENT 
SECURITY THREAT.   
PURSUANT TO 14 CFR 99.7, SPECIAL SECURITY INSTRUCTIONS, ALL ACFT 
FLT OPS ARE PROHIBITED: WI AN AREA DEFINED AS 301918N0812606W 
2304122300-2304130300
END PART 1 OF 4
!FDC 3/8344 ZJX PART 2 OF 4 FL..AIRSPACE MAYPORT, FL..TEMPORARY
 FLIGHT
(CRG108004) THEN COUNTERCLOCKWISE ON A 4.2 NM ARC CENTERED ON 
302329N0812528W  (CRG058005.4) TO 302421N0813013W (CRG008004) TO 
THE POINT OF ORIGIN SFC-2500FT MSL  
EFFECTIVE 2304122300 UTC (1900 LOCAL 04/12/23) UNTIL 2304130300 UTC 
(2300 LOCAL 04/12/23).  

WI AN AREA DEFINED AS 301853N0812530W (CRG111004.6) TO 
302232N0812838W (CRG041002.8) TO 303421N0811707W (CRG043018.2) TO 
303129N0811308W (CRG057018.8) TO 303128N0811123W (CRG059020) TO 
303000N0811057W (CRG063019.5) TO 302721N0810938W (CRG072019.4) TO 
302518N0810901W (CRG078019.3) TO 302509N0811756W (CRG069012) TO 
THE POINT OF ORIGIN 1700FT MSL-14000FT MSL  
EFFECTIVE 2304122300 UTC (1900 LOCAL 04/12/23) UNTIL 2304130300 UTC 
(2300 LOCAL 04/12/23).  

WI AN AREA DEFINED AS 301853N0812530W (CRG111004.6) TO 
301332N0813207W (CRG194006.9) TO 301614N0813442W (CRG224005.4) TO 
302017N0813041W TO 301924N0812939W (CRG142001.2) TO 
302105N0812723W (CRG078002.9) TO THE POINT OF ORIGIN 2500FT 
2304122300-2304130300
END PART 2 OF 4
!FDC 3/8344 ZJX PART 3 OF 4 FL..AIRSPACE MAYPORT, FL..TEMPORARY
 FLIGHT
MSL-8500FT MSL  
EFFECTIVE 2304122300 UTC (1900 LOCAL 04/12/23) UNTIL 2304130300 UTC 
(2300 LOCAL 04/12/23).  

WI AN AREA DEFINED AS 301924N0812939W (CRG142001.2) TO 
302017N0813041W TO 302232N0812838W (CRG041002.8) TO 
302105N0812723W (CRG078002.9) TO THE POINT OF ORIGIN 1200FT 
MSL-3000FT MSL  
EFFECTIVE 2304122300 UTC (1900 LOCAL 04/12/23) UNTIL 2304130300 UTC 
(2300 LOCAL 04/12/23).  



 EXC AS SPECIFIED BLW AND/OR UNLESS AUTH BY ATC:
   1. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST
      BE ON A DISCRETE CODE ASSIGNED BY AN AIR TRAFFIC
      CONTROL (ATC) FACILITY.
   2. AIRCRAFT MUST BE SQUAWKING THE DISCRETE CODE AT
      ALL TIMES WHILE IN THE TFR.
2304122300-2304130300
END PART 3 OF 4
!FDC 3/8344 ZJX PART 4 OF 4 FL..AIRSPACE MAYPORT, FL..TEMPORARY
 FLIGHT
   3. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST
      REMAIN IN TWO-WAY RADIO COMMUNICATIONS WITH ATC.
   4. MAYPORT ATCT, TELEPHONE 904-270-6130 IS THE
      COORDINATION FACILITY.

THE MAYPORT /NRB/ APCH, TEL 904-270-6130, IS THE CDN FAC.
 
2304122300-2304130300
END PART 4 OF 4
",TFR
"A0573/23 NOTAMR A0465/23
Q) EETT/QFAHX/IV/NBO/A /000/999/5925N02450E005
A) EETN B) 2303310925 C) 2304171300
E) CONCENTRATION OF BIRDS ON MANEUVERING AREA AND VICINITY OF AD.
TYPE OF BIRDS - LAPWINGS, GULLS, CROWS AND THRUSHES.
BIRD WEIGHT - UP TO 1200 GRAMS.
MAX FLOCK SIZE - 400 BIRDS.",WL
"A0937/23 NOTAMN
Q) EDMM/QMPLC/IV/BO /A /000/999/4930N01105E005
A) EDDN B) 2303060600 C) 2305220400
E) ACFT STAND 10 CLSD DUE TO WIP.",GC
!AKN 03/068 AKN SVC  TWR CLSD MNT CTAF 121.9 2303120200-2303120500,GC
"A0077/23 NOTAMN
Q) DNKK/QWULW/IV/BO/AW/000/005/0501N00657E006
A) DNPO B) 2304010500 C) 2306300400
D) 0500-1600 1800-2100 2300-0400
E) UAV (DJI MAVIC 2 PRO ? DJI MATRICE 300 RTK) FLIGHT OPERATIONS WILL
TAKE PLACE WITHIN RADIUS 10KM IN AREA:
045752.94N0064621.59E-050405.07N0064126.39E-051328.53N0063845.61E
045752.94N0064621.59E OPERATED BY ARCO WORLDWIDE SERVICES LIMITED
F) GND
G) 500FT AMSL",UAV
"V0069/23 NOTAMN 
Q) SKED/QPIAU/I/BO/A/000/999/0404N07333W005 
A) SKAP 
B) 2304071254 
C) 2305082359 
E) [US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE NOT AUTHORIZED ILS Z OR LOC Z RWY 28.",PRO
"M0767/23 NOTAMR M3998/22
Q) EHAA/QROLT/IV/NBO/AW/000/015/5136N00553E002
A) EHVK B) 2303171144 C) 2306162359 EST
E) MIL ACFT HAVE TO AVOID OVERFLYING OF OPLOO DUE TO BREEDING BIRDS 
PSN 513613N 0055239E RADIUS 1,5NM BTN GND/1000FT AGL.
F) GND G) 1000FT AGL",WL
"A0016/23 NOTAMN
Q) HECC/QMPLC/IV/BO/A/000/999/2711N03348E005
A) HEGN B) 2302051020 C) 2304051000 EST
E) ACFT STANDS NR 62 77 78 79 80 81 82 83 84 85 86 87 88 AND 89 CLSD
DUE TO MAINT.",GC
" B0359/23 NOTAMN
Q) WIIF/QWULW/IV/BO/W/000/028/0309S10319E091
A) WIIF PART 1 OF 3 B) 2303010100 C) 2306300900
D) DAILY 0100-0900
E) UNMANNED AERIAL VEHICLE (UAV) DRONE ACT WILL TAKE PLACE WI COORD AS
FLW :
PTPN7 PALEMBANG AREA
025544.10S1044247.80E - 025544.10S1044259.30E - 025557.30S1044259.30E
 -
025557.30S1044247.80E - 025544.10S1044247.80E

BETUNG AREA
023935.90S1040957.90E - 023936.20S1041730.10E - 025037.90S1041729.70E
 -
025037.95S1041357.91E - 025438.50S1041355.90E - 025438.30S1040800.50E
 -
024832.20S1040800.90E - 024835.39S1041000.28E - 023935.90S1040957.90E

SUNGAI NIRU AREA
032856.30S1040155.90E - 032856.30S1040222.50E - 032941.50S1040222.50E
 -
032941.40S1040155.90E - 032856.30S1040155.90E

MUSI LANDAS AREA
025221.00S1043343.90E - 025221.10S1043757.70E - 025826.30S1043757.70E
PART 1 OF 3
B0359/23 NOTAMN
Q) WIIF/QWULW/IV/BO/W/000/028/0309S10319E091
A) WIIF PART 2 OF 3 B) 2303010100 C) 2306300900
D) DAILY 0100-0900
E) -
025826.20S1043343.90E - 025221.00S1043343.90E

BENTAYAN AREA
022430.70S1040541.60E - 022431.20S1041858.30E - 023043.90S1041857.90E
 -
023043.40S1040541.20E - 022430.70S1040541.60E

TALANG SAWIT AREA
025744.80S1040703.70E - 025744.90S1040731.80E - 025818.00S1040731.80E
 -
025817.90S1040703.30E - 025744.80S1040703.70E

BERINGIN AREA
034028.50S1040235.50E - 034029.10S1041247.80E - 035110.10S1041247.10E
 -
035109.50S1040234.80E - 034028.50S1040235.50E

CINTA MANIS AREA
031418.50S1043003.90E - 031418.80S1044449.10E - 033122.10S1044448.80E
 -
033121.80S1043003.20E - 031418.50S1043003.90E

IPMG BOOM BARU AREA
025847.50S1044700.60E - 025847.50S1044705.20E - 025851.90S1044705.20E
 -
025851.90S1044700.60E - 025847.50S1044700.60E
PART 2 OF 3
B0359/23 NOTAMN
Q) WIIF/QWULW/IV/BO/W/000/028/0309S10319E091
A) WIIF PART 3 OF 3 B) 2303010100 C) 2306300900
D) DAILY 0100-0900
E) PTPN7 BENGKULU AREA
034911.60S1021740.20E - 034911.70S1021746.60E - 034918.10S1021746.60E

034918.10S1021740.20E -

034911.60S1021740.20E

PADANG PELAWI AREA
035018.20S1022335.50E - 035019.30S1022939.80E - 035709.30S1022938.30E
 -
035708.20S1022334.40E - 035018.20S1022335.50E

IPMG PULAU BAAI
035432.20S1021817.60E - 035432.20S1021826.20E - 035440.30S1021826.20E
 -
035440.30S1021817.60E - 035432.20S1021817.60E
RMK : ALL TFC SUBJ ATC CLR
F) SFC G) 2739FT AMSL
PART 3 OF 3
",UAV
"A1232/23 NOTAMN
Q) WMFC/QWULW/IV/BO /AW/000/004/0545N10229E001
A) WMGK B) 2304170000 C) 2304210900 
D) 0000-0900
E) UAV ACT WILL TAKE PLACE WI THE FLW COORD:
   054444.23N 1022907.74E - 054519.05N 1022856.32E - 
   054619.93N 1022901.71E - 054655.91N 1022910.09E - 
   054653.99N 1022912.52E - 054619.45N 1022904.04E - 
   054519.15N 1022858.56E - 054444.74N 1022909.36E 
   (JERTEH, TERENGGANU) 
F) SFC                             G) 330FT AGL",UAV
"M0033/23 NOTAMN 
Q) HAAA/QFAHX/IV/BO/A/000/999/1130N04303E005 
A) HDCH 
B) 2303101714 
C) 2305120001 
E) AERODROME BASH PHASE II IN EFFECT DUE TO MIGRATORY BIRDS",WL
"M0163/23 NOTAMN 
Q) RKRR/QNBXX/IV/NBO/AE/000/999/3657N12701E005 
A) RKSG 
B) 2303210612 
C) 2306162359 
E) 
NAVAID RKSG 
VOR UNSERVICEABLE",NAV
!FIN 08/012 FIN TWY A BTN CORPORATE RAMP AND TWY E CLSD 2208291100-2308092359,GC
!BNA 02/207 RZR AD AP TURF CLSD TO LDG AND TKOF 2302102111-2307102359,APC
"A1668/23 NOTAMN
Q) LTAA/QARLC/IV/NBO/E /000/999/3810N03405E093
A) LTAA B) 2303140700 C) 2303150830
D) 0700-0830
E) SEE NOTAM: A1667/23
ATS ROUTES AND SEGMENTS AFFECTED DURING EXERCISE AS FOLLOWS:
1. AWY A/UA28 TELVO-MUT CLSD
VERTICAL LIMITS: SFC-FL500
2. AWY W/UW75 SELVI-ADA CLSD
VERTICAL LIMITS: SFC-FL300
3. AWY A/UA285 MUT-ERHAN CLSD
VERTICAL LIMITS: SFC-FL300",GC
!HUF 02/601 ANQ AD AP SELF SERVE JET A FUEL NOT AVBL 2302250013-2303142359,F
!CLT 12/311 CLT NAV ILS RWY 23 GP U/S 2212302334-2312211800,NAV
!GFK 03/033 4E7 AD AP CLSD 2303061311-2303132359,APC
"!FDC 1/8956 HPN SID WESTCHESTER COUNTY, WHITE PLAINS, NY.
WESTCHESTER SEVEN DEPARTURE...
DISREGARD NOTE: GREKI DEPARTURES EXPECT VECTORS TO CMK R-057.
CMK VOR/DME R-057 UNUSABLE. 2109151918-2309151918EST",PRO
!MCN 04/194 HOE NAV NDB U/S 2304071411-2310082111EST,NAV
"N0121/23 NOTAMR N0008/23
Q) EGTT/QOBCE/IV/M  /E /000/023/5422N00109W001
A) EGTT B) 2303291526 C) 2304301200
E) OBST MAST UK29460081F UNDER CONSTRUCTION AT PSN 
542130.85N 0010901.27W (BILSDALE, NORTH YORKSHIRE). UP TO 1004FT AGL 
2248FT AMSL. DURING CONSTRUCTION, THE UPPER 200FT OF THE STRUCTURE 
MAY BE UNLIT AT TIMES. 2022-02-0167/AS8.",C
"A1095/23 NOTAMN
Q) ENOR/QFUXX/IV/BO /A /000/999/6835N01502E005
A) ENSK B) 2302231203 C) PERM
E) FUEL CHANGED FROM JET A-1 TO JET A-1 + FSII. REF AIP AD 2 ENSK AD
2.4",F
