NOTAM Text,Category
AD VCV CONSTRUCTION ON AIRPORT - SEE CONSTRUCTION GRAPHIC,C
AD APC CONSTRUCTION ON AIRPORT - SEE CONSTRUCTION GRAPHIC,C
AD SBN CONSTRUCTION ON AIRPORT - SEE CONSTRUCTION GRAPHIC,C
"C0730/05 NOTAMR C0560/05
Q) VABF/QMRHW/IV/NBO/A/000/999/
A) VASU B) 0511291053 C) 0602281430 EST
E) RWY WIDENING WIP ON WEST SIDE OF END OF RWY 22
AND CONSTRUCTION OF RESA AT END OF RWY 04
PILOT TO EXER CTN WHILE LDG/TKOFF",C
"C0561/08 NOTAMR C0541/08
Q) VECF/QMNHW/IV/NBO/A/000/999/
A) VEJT B) 0811290736 C) 0812101130 EST
E) CONSTRUCTION WORKS IN PROGRESS ON THE SOUTH-EAST PART OF CIVIL
APRON. PILOTS TO EXER CTN WHILE MANOUVERING ON CIVIL APRON DUE MEN
AND MATERIAL.",C
"C0598/07 NOTAMN
Q) VABF/QMRXX/IV/NBO/A/000/999/
A) VASU B) 0710311030 C) 0801151000 EST
D) BTN 0330 - 1200 DLY
E) CONSTRUCTION OF BLAST PAD ,RESA,INSPECTION ROAD WORK
   AT THE END OF RWY22 IN PROGRESS WHICH INVOLVE CUTTING
   OF EARTH UP TO DEPTH OF 1.25 MTRS.
   PILOT TO EXER CTN WHILE LDG/TAKE OFF.",C
"C0398/13 NOTAMR C0202/13
Q) VOMF/QXXXX/IV/M/W/000/999/
A) VOPB B) 1307040720 C) 1310041500 EST
D) 0200-1500 DLY
E) DIGGING/EARTHWORK WIP FOR CONSTRUCTION OF DISPERSAL BTN
DTGM 01 AND 00, PORT SIDE OF RWY 04, APROX 40M FROM RWY EDGE.
PILOTS TO EXER CTN LDG/TKOF",C
"G6189/14 NOTAMN
Q) LTAA/QMXCS/IV/M  /A /000/999/4008N03300E005
A) LTAC B) 1412101014 C) PERM
E) ANKARA ESENBOGA HAVALIMANI:
RWY 03R/21L ILE TWY A ARASINDA H VE J TANITMALI HIZ TAKSIYOLLARI 
ASAGIDAKI OZELLIKLERI ILE HIZMETE VERILMISTIR.
WIDTH:24M 
SURFACE:ASPHALT
STRENGHT:PCN 110 F/C/W/T,LCN 110
LIGHTING:EDGE, CENTERLINE
TWY MARKINGS:EDGE,CENTERLINE,INTERMEDIATE HOLDING POSITION

NOT:LTAC ADC SAYFASINDA YER ALAN 'UNDER CONSTRUCTION' IFADELERINI 
SILINIZ

REF AIP AD 2 LTAC-3, LTAC-7 VE ADC",C
"B0004/17 NOTAMN
Q) HKNA/QXXXX/IV/NBO/A/000/999/0119S03648E005
A) HKNW
B) 1701041246
C) 1703152359 EST
E) CTN ADZ RWY 25 ET VOIE DE CIRCULATION ( PAS VISIBLE FM TWR DUE A LA
 CONSTRUCTION DE NOUVELLE TWR",C
"A0964/21 NOTAMR A0265/21
Q) FCCC/QFAHW/IV/NBO/A /000/999/0401N00942E005
A) FKKD B) 2106291527 C) 2109291700 EST
E) CONSTRUCTION OF PATROL ROAD IN PROGRESS ALONG THE AIRPORT FENCE
PRESENCE OF WORKERS AND MACHINES.",C
"A1090/21 NOTAMR A0282/21
Q) FCCC/QFAHW/IV/NBO/A/000/999/0343N01133E005
A) FKYS B) 2107271302 C) 2109301700 EST
D) JUL 27 1302-1700 
JUL 28 TIL SEP 30 0700-1700
E) CONSTRUCTION OF PATROL ROAD IN PROGRESS ALONG THE AIRPORT FENCE.
PRESENCE OF WORKERS AND MACHINES",C
"A4536/21 NOTAMN
Q) UKLV/QFAXX/IV/NBO/A /000/999/4838N02216E005
A) UKLU B) 2110211500 C) PERM
E) OPERATORS OF AIRCRAFT OTHER THEN THOSE WITH THE NATIONALITY MARK 
OM MAY USE CTR/TMA UZHHOROD WEST DURING ITS OPERATING HOURS FOR
FLIGHTS TO CONDUCT THE FOLLOWING ACTIVITIES, UNLESS OTHERWISE 
PROVIDED FOR, ONLY UPON PRIOR APPROVAL OF THE TRANSPORT AUTHORITY OF
THE SLOVAK REPUBLIC:
-AERIAL WORKS OR SPECIAL OPERATIONS, IN PARTICULAR AERIAL SENSING, 
AERIAL PHOTOGRAPHY, AERIAL FILMING, AERIAL SURVEY, AERIAL OBSERVATION
AND AERIAL PATROL, AERIAL CONSTRUCTION WORK, AERIAL APPLICATIONS, 
DROPPING OF OBJECTS, DISPLAYING OF ADS DURING FLIGHT, TOWING OF 
BANNERS, AUDIO ANNOUNCEMENTS AND ADVERTISING ON BOARD OF A PLANE, 
FOR REMUNERATION,
TO BE CONTINUED NEXT NOTAM.",C
"A0366/21 NOTAMN
Q) VGFR/QMXXX/IV/NBO/A/000/999/
A) VGHS B) 2111111025 C) PERM
E) TWY &apos;G&apos; HAS BEEN DISMANTLED (NO MORE AVBL)
 DUE CONSTRUCTION WORK OF THIRD TERMINAL AND APRON AREA.",C
"D0471/22 NOTAMN
Q) EKDK/QFPXX/IV/B  /A /000/999/5542N01234E005
A) EKRH B) 2205010000 C) PERM
E) SOUTH WEST FLIGHT SECTOR IS REDUCED BY 29 DEGREES TO 121 DEGREES,
DUE TO CRANE AND CONSTRUCTION WORK NORTH WEST OF THE HELIPORT.",C
"A1875/22 NOTAMR A0773/22
Q) EKDK/QOBCE/IV/M  /AE/000/003/5538N01234E002
A) EKCH B) 2209050650 C) PERM
E) OBST ERECTED.
MULTIPLE CRANES ERECTED AT CONSTRUCTION AREA IN OERESTADEN,
WESTERN PART OF CTR, WITHIN LATERAL LIMITS:
553822N0123431E - 553814N0123505E - 553659N0123443E -
553656N0123354E - 553822N0123431E.
OBST MAX ELEVATION 284FT AMSL.",C
